Product-id,Seller-id,Product-SKU,Product-Title,Product-Brand,URL,img_URL,Regular-Price,Final-Price,Comment,TIKI-NOW,Rating,Installment,Page,Location
48524359,48509088,2774023213270,Điện Thoại Vsmart Joy 3 - Hàng chính hãng,Vsmart,https://tiki.vn/dien-thoai-vsmart-joy-3-hang-chinh-hang-p48524359.html?src=category-page-1789&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/5a/7b/e1/5acd19c60380413b3e72ac3460da0f62.jpg,2.290.000đ,1.990.000đ                                            -13%,718 nhận xét,YES,92%,,1,0
46753117,54749371,5180403403167,Điện Thoại Vsmart Active 3 - Hàng Chính Hãng,Vsmart,https://tiki.vn/dien-thoai-vsmart-active-3-hang-chinh-hang-p46753117.html?src=category-page-1789&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/21/b2/3a/3cf0cf3433d7122448bb1f90bf9b7bb0.png,4.490.000đ,2.750.000đ                                            -39%,971 nhận xét,YES,92%,,1,1
58851197,58851201,9946827055483,Điện Thoại Oppo A12e (3GB/64GB) - Hàng Chính Hãng,OPPO,https://tiki.vn/dien-thoai-oppo-a12e-3gb-64gb-hang-chinh-hang-p58851197.html?src=category-page-1789&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/82/c0/97/94b5673d94832ceb603772db18c91195.jpg,2.990.000đ,2.590.000đ                                            -13%,70 nhận xét,YES,98%,,1,2
52717588,52717590,4387243444522,Điện Thoại Samsung Galaxy M11 (32GB/3GB) - Hàng Chính Hãng,Samsung,https://tiki.vn/dien-thoai-samsung-galaxy-m11-32gb-3gb-hang-chinh-hang-p52717588.html?src=category-page-1789&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/ac/5e/b1/b95a214b23b83e1446b309823f81d459.jpg,3.690.000đ,2.699.000đ                                            -27%,208 nhận xét,YES,90%,,1,3
21464946,21464948,4768055136698,Máy Tính Bảng Samsung Galaxy Tab A8 8' T295 (2019) - Hàng Chính Hãng,Samsung,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-a8-8-t295-2019-hang-chinh-hang-p21464946.html?src=category-page-1789&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/05/f4/a0/4d066ca1f0249c6ff49af104b8b0c431.jpg,3.690.000đ,2.990.000đ                                            -19%,184 nhận xét,YES,90%,,1,4
25730627,25730629,7578609335289,Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng,Nokia,https://tiki.vn/dien-thoai-nokia-105-dual-sim-2019-hang-chinh-hang-p25730627.html?src=category-page-1789&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/a5/1b/4b/925051cd75d938700de042def6dd3428.jpg,360.000đ,355.000đ                                            -1%,202 nhận xét,YES,92%,,1,5
52063654,52063657,8955172053281,Điện Thoại Samsung Galaxy M21 (64GB/4GB) - Hàng Chính Hãng,Samsung,https://tiki.vn/dien-thoai-samsung-galaxy-m21-64gb-4gb-hang-chinh-hang-p52063654.html?src=category-page-1789&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/74/00/96/11b8de5d225de144b36ec941f24dd63a.jpg,5.490.000đ,3.850.000đ                                            -30%,163 nhận xét,YES,94%,Trả góp 0%,1,6
54683561,54683562,8302246545010,"ĐIỆN THOẠI TÂN CỔ ĐIỂN DT14 bàn phím quay chuông quả, dùng cáp điện thoại cố định nghe gọi âm thanh rõ ràng (điện thoại bàn tân cổ điển)",OEM,"https://tiki.vn//t.ants.vn/a3/c/?bc=71702ec3e0,pageview,1601213405,visitor,1,7496227197,638770403,1345098253,10384,1,12336395219,12336394611,1,0_1&t_rls=7496227197-638770407-0-1000&t_s=7496227197-12336395219-1345098253:1&t_kw=&t_z=&t_age=7496227197-12336395219-3:1.0&t_gd=7496227197-12336395219-2:1.0&t_tp=&t_itr=&t_imk=&t_rm=&c_tp=&c_itr=&c_imk=&c_rm=&ti_area=29:1:VN&ti_gd=1&ti_age=2&ti_pl=1&ti_nw=:::1000&ti_dv=1:1:5:10:169:487613&skw=&aid=visitor&cv=ab0dc76a&nspace=tiki&action_name=×tamp=1601213405920&url=&urlref=&hostname=&gent=&format=33&template=0&res=&gd=1&loc=29-1-vn&device_model=desktop&redirect=https%3A%2F%2Ftiki.vn%2Fdien-thoai-tan-co-dien-dt14-ban-phim-quay-chuong-qua-dung-cap-dien-thoai-co-dinh-nghe-goi-am-thanh-ro-rang-dien-thoai-ban-tan-co-dien-p54683561.html%3Fspid%3D54683562&prd_imp=7496227197-12336395219-8966726688:1&pos=8",https://salt.tikicdn.com/cache/280x280/ts/product/d3/62/58/70ec2fd80b36c658e8933f5620e685ba.jpg,4.900.000đ,4.400.000đ                                            -10%,Chưa có nhận xét,YES,,,1,7
45695395,45695397,1325135686486,Điện Thoại Samsung Galaxy A51 (128GB/6GB) - Hàng Chính Hãng - Đã Kích Hoạt Bảo Hành Điện Tử,Samsung,https://tiki.vn/dien-thoai-samsung-galaxy-a51-128gb-6gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p45695395.html?src=category-page-1789&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/0c/98/a8/a6a1dc2eec8189746bf75c824a6d64e9.jpg,7.990.000đ,5.850.000đ                                            -27%,296 nhận xét,YES,92%,Trả góp 0%,1,8
55584843,57840823,4463341821585,Điện thoại Xiaomi Redmi Note 9 (3GB/64GB) - Hàng Chính Hãng,Xiaomi,https://tiki.vn/dien-thoai-xiaomi-redmi-note-9-3gb-64gb-hang-chinh-hang-p55584843.html?src=category-page-1789&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/9e/73/b2/996acf29e4ba6c87a948bd40d005c426.png,3.990.000đ,3.290.000đ                                            -18%,89 nhận xét,YES,90%,,1,9
51553387,51701929,3424737663784,ĐIỆN THOẠI XIAOMI REDMI NOTE 9S - HÀNG CHÍNH HÃNG,Xiaomi,https://tiki.vn/dien-thoai-xiaomi-redmi-note-9s-hang-chinh-hang-p51553387.html?src=category-page-1789&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/f3/c8/2c/1e65c7ad08dd057122ec50581a8dbdbb.jpg,5.490.000đ,4.550.000đ                                            -17%,139 nhận xét,YES,90%,Trả góp 0%,1,10
54989813,54989814,6947830017867,"Điện thoại tân cổ điển để bàn mã DT4 màu trắng kết hợp vàng, chuông thanh bàn phím quay, dùng sim di động nghe gọi âm thanh tốt và để trang trí (Điện thoại bàn tân cổ điển)",OEM,"https://tiki.vn//t.ants.vn/a3/c/?bc=60947c06a9,pageview,1601213406,visitor,1,7496227197,638770403,1345098253,10384,1,12336395225,12336394611,1,0_1&t_rls=7496227197-638770407-0-1000&t_s=7496227197-12336395225-1345098253:1&t_kw=&t_z=&t_age=7496227197-12336395225-4:1.0&t_gd=7496227197-12336395225-1:1.0&t_tp=&t_itr=&t_imk=&t_rm=&c_tp=&c_itr=&c_imk=&c_rm=&ti_area=29:1:VN&ti_gd=1&ti_age=3&ti_pl=1&ti_nw=:::1000&ti_dv=1:1:5:10:169:487613&skw=&aid=visitor&cv=ab0dc76a&nspace=tiki&action_name=×tamp=1601213406384&url=&urlref=&hostname=&gent=&format=33&template=0&res=&gd=1&loc=29-1-vn&device_model=desktop&redirect=https%3A%2F%2Ftiki.vn%2Fdien-thoai-tan-co-dien-de-ban-ma-dt4-mau-trang-ket-hop-vang-chuong-thanh-ban-phim-quay-dung-sim-di-dong-nghe-goi-am-thanh-tot-va-de-trang-tri-dien-thoai-ban-tan-co-dien-p54989813.html%3Fspid%3D54989814&prd_imp=7496227197-12336395225-9128234953:1&pos=12",https://salt.tikicdn.com/cache/280x280/ts/product/2b/fc/6e/608bfea4b7de675a262acef9e7b07086.JPG,2.900.000đ,2.780.000đ                                            -4%,Chưa có nhận xét,YES,,,1,11
14917752,7503393,6650820721100,Điện Thoại iPhone XS Max 64GB - Hàng Nhập Khẩu,Apple,https://tiki.vn/dien-thoai-iphone-xs-max-64gb-hang-nhap-khau-p14917752.html?src=category-page-1789&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/15/c2/17/fce67e5fead57ba83766700cf4af8da2.jpg,33.990.000đ,16.399.000đ                                            -52%,33 nhận xét,YES,84%,Trả góp 0%,1,12
32033717,32033719,7227671929864,Điện Thoại iPhone 11 64GB  - Hàng  Chính Hãng,Apple,https://tiki.vn/dien-thoai-iphone-11-64gb-hang-chinh-hang-p32033717.html?src=category-page-1789&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/0c/62/39/31879ad1c9cf92b35e58749268ba4ff7.jpg,22.990.000đ,18.350.000đ                                            -20%,197 nhận xét,YES,94%,Trả góp 0%,1,13
